Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"49.89600","-0.49492","-0.00135"
"49.99600","-0.49492","-0.00136"
"50.09600","-0.49492","-0.00133"
"50.19600","-0.49492","-0.00130"
"50.29600","-0.49492","-0.00144"
"50.39600","-0.49492","-0.00137"
"50.49600","-0.49492","-0.00140"
"50.59600","-0.49492","-0.00130"
"50.69600","-0.49492","-0.00131"
"50.79600","-0.49492","-0.00139"
"50.89600","-0.49492","-0.00146"
"50.99600","-0.49492","-0.00140"
"51.09600","-0.49492","-0.00130"
"51.19600","-0.49492","-0.00130"
"51.29600","-0.49492","-0.00135"
"51.39600","-0.49492","-0.00136"
"51.49600","-0.49492","-0.00135"
"51.59600","-0.49492","-0.00127"
"51.69600","-0.49492","-0.00141"
"51.79600","-0.49492","-0.00123"
"51.89600","-0.49492","-0.00122"
"51.99600","-0.49492","-0.00126"
"52.09600","-0.49492","-0.00144"
"52.19600","-0.49492","-0.00133"
"52.29600","-0.49492","-0.00131"
"52.39600","-0.49492","-0.00132"
"52.49600","-0.49492","-0.00122"
"52.59600","-0.49492","-0.00127"
"52.69600","-0.49492","-0.00122"
"52.79600","-0.49492","-0.00130"
"52.89600","-0.49492","-0.00133"
"52.99600","-0.49492","-0.00138"
"53.09600","-0.49492","-0.00136"
"53.19600","-0.49492","-0.00132"
"53.29600","-0.49492","-0.00134"
"53.39600","-0.49492","-0.00130"
"53.49600","-0.49492","-0.00121"
"53.59600","-0.49492","-0.00143"
"53.69600","-0.49492","-0.00141"
"53.79600","-0.49492","-0.00131"
"53.89600","-0.49492","-0.00125"
"53.99600","-0.49492","-0.00138"
"54.09600","-0.49492","-0.00143"
"54.19600","-0.49492","-0.00144"
"54.29600","-0.49492","-0.00131"
"54.39600","-0.49492","-0.00121"
"54.49600","-0.49492","-0.00134"
"54.59600","-0.49492","-0.00134"
"54.69600","-0.49492","-0.00138"
"54.79600","-0.49492","-0.00133"
"54.89600","-0.49492","-0.00128"
"54.99600","-0.49492","-0.00143"
"55.09600","-0.49492","-0.00129"
"55.19600","-0.49492","-0.00138"
"55.29600","-0.49492","-0.00125"
"55.39600","-0.49492","-0.00138"
"55.49600","-0.49492","-0.00139"
"55.59600","-0.49492","-0.00136"
"55.69600","-0.49492","-0.00123"
"55.79600","-0.49492","-0.00127"
"55.89600","-0.49492","-0.00128"
"55.99600","-0.49492","-0.00129"
"56.09600","-0.49492","-0.00132"
"56.19600","-0.49492","-0.00129"
"56.29600","-0.49492","-0.00131"
"56.39600","-0.49492","-0.00128"
"56.49600","-0.49492","-0.00135"
"56.59600","-0.49492","-0.00132"
"56.69600","-0.49492","-0.00124"
"56.79600","-0.49492","-0.00131"
"56.89600","-0.49492","-0.00143"
"56.99600","-0.49492","-0.00138"
"57.09600","-0.49492","-0.00120"
"57.19600","-0.49492","-0.00128"
"57.29600","-0.49492","-0.00133"
"57.39600","-0.49492","-0.00137"
"57.49600","-0.49492","-0.00137"
"57.59600","-0.49492","-0.00137"
"57.69600","-0.49492","-0.00123"
"57.79600","-0.49492","-0.00135"
"57.89600","-0.49492","-0.00131"
"57.99600","-0.49492","-0.00132"
"58.09600","-0.49492","-0.00130"
"58.19600","-0.49492","-0.00125"
"58.29600","-0.49492","-0.00125"
"58.39600","-0.49492","-0.00130"
"58.49600","-0.49492","-0.00118"
"58.59600","-0.49492","-0.00122"
"58.69600","-0.49492","-0.00122"
"58.79600","-0.49492","-0.00130"
"58.89600","-0.49492","-0.00132"
"58.99600","-0.49492","-0.00131"
"59.09600","-0.49492","-0.00117"
"59.19600","-0.49492","-0.00117"
"59.29600","-0.49492","-0.00132"
"59.39600","-0.49492","-0.00137"
"59.49600","-0.49492","-0.00122"
"59.59600","-0.49492","-0.00122"
"59.69600","-0.49492","-0.00126"
"59.79600","-0.49492","-0.00139"
"59.89600","-0.49492","-0.00128"
"59.99600","-0.49492","-0.00120"
"60.09600","-0.49492","-0.00127"
"60.19600","-0.49492","-0.00119"
"60.29600","-0.49492","-0.00136"
"60.39600","-0.49492","-0.00122"
"60.49600","-0.49492","-0.00122"
"60.59600","-0.49492","-0.00129"
"60.69600","-0.49492","-0.00126"
"60.79600","-0.49492","-0.00140"
"60.89600","-0.49492","-0.00125"
"60.99600","-0.49492","-0.00129"
"61.09600","-0.49492","-0.00122"
"61.19600","-0.49492","-0.00132"
"61.29600","-0.49492","-0.00119"
"61.39600","-0.49492","-0.00135"
"61.49600","-0.49492","-0.00125"
"61.59600","-0.49492","-0.00127"
"61.69600","-0.49492","-0.00132"
"61.79600","-0.49492","-0.00127"
"61.89600","-0.49492","-0.00118"
"61.99600","-0.49492","-0.00124"
"62.09600","-0.49492","-0.00134"
"62.19600","-0.49492","-0.00130"
"62.29600","-0.49492","-0.00122"
"62.39600","-0.49492","-0.00123"
"62.49600","-0.49492","-0.00117"
"62.59600","-0.49492","-0.00137"
"62.69600","-0.49492","-0.00134"
"62.79600","-0.49492","-0.00129"
"62.89600","-0.49492","-0.00114"
"62.99600","-0.49492","-0.00116"
"63.09600","-0.49492","-0.00131"
"63.19600","-0.49492","-0.00123"
"63.29600","-0.49492","-0.00123"
"63.39600","-0.49492","-0.00125"
"63.49600","-0.49492","-0.00116"
"63.59600","-0.49492","-0.00117"
"63.69600","-0.49492","-0.00120"
"63.79600","-0.49492","-0.00122"
"63.89600","-0.49492","-0.00121"
"63.99600","-0.49492","-0.00129"
"64.09600","-0.49492","-0.00137"
"64.19600","-0.49492","-0.00121"
"64.29600","-0.49492","-0.00117"
"64.39600","-0.49492","-0.00118"
"64.49600","-0.49492","-0.00134"
"64.59600","-0.49492","-0.00135"
"64.69600","-0.49492","-0.00128"
"64.79600","-0.49492","-0.00126"
"64.89600","-0.49492","-0.00127"
"64.99600","-0.49492","-0.00128"
"65.09600","-0.49492","-0.00133"
"65.19600","-0.49492","-0.00131"
"65.29600","-0.49492","-0.00135"
"65.39600","-0.49492","-0.00142"
"65.49600","-0.49492","-0.00130"
"65.59600","-0.49492","-0.00125"
"65.69600","-0.49492","-0.00134"
"65.79600","-0.49492","-0.00125"
"65.89600","-0.49492","-0.00134"
"65.99600","-0.49492","-0.00137"
"66.09600","-0.49492","-0.00124"
"66.19600","-0.49492","-0.00119"
"66.29600","-0.49492","-0.00122"
"66.39600","-0.49492","-0.00119"
"66.49600","-0.49492","-0.00128"
"66.59600","-0.49492","-0.00138"
"66.69600","-0.49492","-0.00122"
"66.79600","-0.49492","-0.00126"
"66.89600","-0.49492","-0.00129"
"66.99600","-0.49492","-0.00138"
"67.09600","-0.49492","-0.00118"
"67.19600","-0.49492","-0.00122"
"67.29600","-0.49492","-0.00127"
"67.39600","-0.49492","-0.00135"
"67.49600","-0.49492","-0.00133"
"67.59600","-0.49492","-0.00113"
"67.69600","-0.49492","-0.00129"
"67.79600","-0.49492","-0.00142"
"67.89600","-0.49492","-0.00143"
"67.99600","-0.49492","-0.00126"
"68.09600","-0.49492","-0.00112"
"68.19600","-0.49492","-0.00125"
"68.29600","-0.49492","-0.00125"
"68.39600","-0.49492","-0.00133"
"68.49600","-0.49492","-0.00135"
"68.59600","-0.49492","-0.00135"
"68.69600","-0.49492","-0.00131"
"68.79600","-0.49492","-0.00125"
"68.89600","-0.49492","-0.00122"
"68.99600","-0.49492","-0.00123"
"69.09600","-0.49492","-0.00121"
"69.19600","-0.49492","-0.00124"
"69.29600","-0.49492","-0.00133"
"69.39600","-0.49492","-0.00128"
"69.49600","-0.49492","-0.00121"
"69.59600","-0.49492","-0.00112"
"69.69600","-0.49492","-0.00120"
"69.79600","-0.49492","-0.00126"
"69.89600","-0.49492","-0.00129"
"69.99600","-0.49492","-0.00117"
"70.09600","-0.49492","-0.00126"
"70.19600","-0.49492","-0.00114"
"70.29600","-0.49492","-0.00124"
"70.39600","-0.49492","-0.00114"
"70.49600","-0.49492","-0.00128"
"70.59600","-0.49492","-0.00129"
"70.69600","-0.49492","-0.00126"
"70.79600","-0.49492","-0.00126"
"70.89600","-0.49492","-0.00111"
"70.99600","-0.49492","-0.00123"
"71.09600","-0.49492","-0.00121"
"71.19600","-0.49492","-0.00122"
"71.29600","-0.49492","-0.00132"
"71.39600","-0.49492","-0.00123"
"71.49600","-0.49492","-0.00123"
"71.59600","-0.49492","-0.00120"
"71.69600","-0.49492","-0.00131"
"71.79600","-0.49492","-0.00119"
"71.89600","-0.49492","-0.00130"
"71.99600","-0.49492","-0.00128"
"72.09600","-0.49492","-0.00128"
"72.19600","-0.49492","-0.00122"
